"Date","Location","County","Subcounty","Model","Number of Farmers","Land Size","Total Acres Pasture","Total Bales","Yield per Harvest","Programme"
"May 18, 2026","Lokapel","Turkana","Turkana South","Community owned","4","140","0","0","0","KPMD 2"
"May 18, 2026","Eĺelea","Turkana","Turkana East","Community owned","1","140","0","0","0","KPMD 2"
"May 18, 2026","Lokapel","Turkana","Turkana South","Community owned","2","140","0","0","0","KPMD 2"
"May 18, 2026","Kaaroge","Turkana","Turkana South","Community owned","1","140","0","0","0","KPMD 2"
